id,title,org_name,location,ncs,job_type,start_date,end_date,dday,status,detail_url
193,채용형 인턴 채용공고(주택관리공단 부산울산지사),주택관리공단(주),부산,"건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.05.21,25.05.28,D+36,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286212
194,[한국장애인고용공단 서울동부지사] 일반직 대체근로자(체험형 청년인턴) 채용 공고,한국장애인고용공단,서울,"경영.회계.사무,사회복지.종교",비정규직 외 1,2025.05.21,25.05.28,D+36,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286207
195,한국의료분쟁조정중재원 2025년 청년인턴 모집공고,한국의료분쟁조정중재원,서울,"사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,보건.의료",청년인턴(체험형),2025.05.21,25.06.04,D+29,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286198
196,"(수정) 2025년도 체험형 청년인턴(일반, 장애) 채용 공고",농림식품기술기획평가원,전남,"사업관리,경영.회계.사무",청년인턴(체험형),2025.05.21,25.06.04,D+29,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287689
197,2025년도 1차 청년인턴(보훈제한경쟁) 채용,한국항공우주연구원,대전,"사업관리,경영.회계.사무",비정규직 외 1,2025.05.21,25.06.04,D+29,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286181
198,2025년도 1차 장애인 인턴 채용,한국항공우주연구원,대전,경영.회계.사무,비정규직 외 1,2025.05.21,25.06.04,D+29,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286180
199,한국원자력안전기술원 2025년 3차 청년인턴(장애인턴) 공개채용 공고,한국원자력안전기술원,대전,경영.회계.사무,청년인턴(체험형),2025.05.21,25.06.05,D+28,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286107
200,한국원자력안전기술원 2025년 3차 청년인턴 공개채용 공고,한국원자력안전기술원,대전,"경영.회계.사무,환경.에너지.안전",청년인턴(체험형),2025.05.21,25.06.05,D+28,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286106
201,2025년 세종학당재단 하반기 체험형 청년인턴 채용 공고,세종학당재단,서울,경영.회계.사무,청년인턴(체험형),2025.05.20,25.06.04,D+29,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286152
202,채용형 인턴 채용공고(주택관리공단 대구경북지사),주택관리공단(주),"대구,경북","건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.05.20,25.05.27,D+37,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286146
203,[대구병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,대구,보건.의료,청년인턴(체험형),2025.05.20,25.05.27,D+37,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286134
204,[제25-03-0-6호] 한국해양과학기술원 2025년 하반기 체험형인턴 공개채용 공고,한국해양과학기술원,"부산,경북",연구,청년인턴(체험형),2025.05.20,25.06.04,D+29,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286115
205,한국언론진흥재단 2025년 2차 체험형 청년인턴 채용 공고,한국언론진흥재단,서울,"사업관리,경영.회계.사무,교육.자연.사회과학,문화.예술.디자인.방송",청년인턴(체험형),2025.05.20,25.06.03,D+30,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286042
